id,email,valid
1,john.doe@example.com,true
2,johndoeexample.com,false
3,user123@domain.org,true
4,user 123@domain.org,false
5,first_last@domain.co.uk,true
6,"""john.doe""@example.com",true
7,user@domain,false
8,user.name+tag@sub.domain.com,true
9,A@b.cd,true
10,@example.com,false
11,user@.com,false
12,user_name@example-domain.com,true
13,user-name@domain.co,true
14,user@domain.c,false
15,user@domain.commmercial,true
16,"""john.smith""@example.com",true
17,"""user@domain.com",false
18,user@domain..com,false
19,user@-domain.com,false
20,user@domain-.com,false
21,user@do_main.com,false
22,user@domain.corporate,true
23,user%example.com@example.org,true
24,"""very.unusual.@.unusual.com""@example.com",true
25,plainaddress,false
26,#@%^%#$@#.com,false
27,email..email@example.com,true
28,"""email..email""@example.com",true
29,email@example@example.com,false
30,.email@example.com,false
31,email.@example.com,false
32,email@example.com,true
33,firstname-lastname@example.com,true
34,firstname+lastname@example.com,true
35,email@subdomain.example.com,true
36,"""email with spaces""@example.com",true
37,"""email@with@multiple@ats""@example.com",true
38,email@example,false
39,email@111.222.333.44444,false
40,email@example.web,true
41,email@example..com,false
42,Abc.example.com,false
43,A@b@c@example.com,false
44,just"not"right@example.com,false
45,this is"not\allowed@example.com,false
46,this\ still\"not\\allowed@example.com,false
47,email@-example.com,false
48,"""much.more unusual""@example.com",true
49,"""very.unusual.@.unusual.com""@example.com",true
50,"""very.(),:;<>[]\""."VERY.\"very@\\ \"very\".unusual""@strange.example.com",false
51,user@[IPv6:2001:db8::1],false
52,"""user@domain.com""@example.com",true
53,user.name@domain.com,true
54,username@domain.c,false
55,user%example.com@example.org,true
56,user+mail@example.com,true
57,"""üñîçøðé""@example.com",true
58,用户@例子.广告,false
59,email@[123.123.123.123],false
60,"""email@[123.123.123.123]""@example.com",true
61,"""john..doe""@example.com",true
62,"""john.doe""@example..com",false
63,john.doe@exa_mple.com,false
64,"""john.doe""@exa_mple.com",false
65,valid_email@domain.com,true
66,invalid-email@domain,false
67,another.valid.email@example.co.uk,true
68,another-invalid-email@example,false
69,email@domain.coop,true
70,"""email.with,special@chars""@example.com",true
71,"""email.with;semicolon""@example.com",true
72,email@123.com,true
73,"""email@100.com""@example.com",true
74,email@domain.toolongtld,true
75,"""user name""@example.com",true
76,user..name@example.com,true
77,.username@example.com,false
78,username.@example.com,false
79,user_name@domain.co,true
80,user-name@domain.io,true
81,user+name@domain.ai,true
82,user%name@domain.biz,true
83,"""user%name""@domain.biz",true
84,user#mail@domain.com,false
85,user@mail..com,false
86,user@mail.corporate,true
87,"""user@mail.corporate""@domain.com",true
88,user@mail.c0m,false
89,user@mail.comm,true
90,user@mail.c_m,false
91,"""user@mail.c_m""@domain.com",false
92,user@maildomain.com,true
93,user@mailDomain.com,true
94,user@sub_domain.domain.com,false
95,user@sub-domain.domain.com,true
96,"""user@sub-domain.domain.com""@example.com",true
97,user+xyz@example.co.in,true
98,user-xyz@example.co.in,true
99,"""user-xyz""@example.com",true
100,user.name+label@domain.co.uk,true
101,simple@example.com,true
102,very.common@example.com,true
103,disposable.style.email.with+symbol@example.com,true
104,other.email-with-hyphen@example.com,true
105,fully-qualified-domain@example.com,true
106,user.name+tag+sorting@example.com,true
107,x@example.com,true
108,example-indeed@strange-example.com,true
109,admin@mailserver1,false
110,example@s.example,false
111,mailhost!username@example.org,false
112,user-@example.org,false
113,customer/department=shipping@example.com,false
114,"""customer/department=shipping""@example.com",true
115,_somename_@example.com,true
116,"""much.more unusual""@example.com",true
117,"""very.unusual.@.unusual.com""@example.com",true
118,"""very.(),:;<>[]\\"".""VERY.\\""very@\\ \\"very\\".unusual""@strange.example.com",false
119,"""escaped\\\"quote""@example.com",true
120,"""white space""@example.com",true
